Producto,Marca,Modelo,Calificación,Fecha,Texto,texto_limpio,sentimiento,tokens,dominant_topic,sentimiento_vader,category,vector
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El equipo corresponde al modelo que pedí, también la capacidad, el tamaño es Perfecto , el color quede muy enamorada del color, muy buena calidad, la entrega fue en la fecha indicada, el equipo incluso llegó antes de la entrega estimada",equipo corresponder modelo pedir capacidad tamaño perfecto color quedar enamorado color buen calidad entrega fecha indicado equipo incluso llegar entrega estimado,0,"['equipo', 'corresponder', 'modelo', 'pedir', 'capacidad', 'tamaño', 'perfecto', 'color', 'quedar', 'enamorado', 'color', 'buen', 'calidad', 'entrega', 'fecha', 'indicado', 'equipo', 'incluso', 'llegar', 'entrega', 'estimado']",0,1,Rendimiento,"8,27,77,161,96,7,16,13,187,1886,13,1,2,29,102,86,8,287,21,29,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Vino sellado , es equipo nuevo por si tienen duda y la batería si es buena",venir sellado equipo nuevo dudar batería buen,1,"['venir', 'sellado', 'equipo', 'nuevo', 'dudar', 'batería', 'buen']",0,0,Rendimiento,"26,59,8,60,274,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 11 meses,"El producto se ve de buena calidad, el diseño clasico del ultimo que salio de la mano con Steve Jobs, pero tenia mas expectativas del telefono, la camara es buena pero nada espectacular igual del resto, se ve bueno pero un Iphone ya no es lo de antes, ayudo mucho la marca pero ya no va siendo suficiente.",producto buen calidad diseño clasico ultimo salio mano steve jobs tenia mas expectativa telefono camarar buen espectacular igual resto bueno iphonar ayudo marcar ser suficiente,1,"['producto', 'buen', 'calidad', 'diseño', 'clasico', 'ultimo', 'salio', 'mano', 'steve', 'jobs', 'tenia', 'mas', 'expectativa', 'telefono', 'camarar', 'buen', 'espectacular', 'igual', 'resto', 'bueno', 'iphonar', 'ayudo', 'marcar', 'ser', 'suficiente']",1,-1,Bateria,"3,1,2,70,1109,926,448,235,1091,1133,217,100,36,115,147,1,189,9,527,17,34,584,920,69,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Muy buena, la batería y el tamaño es tal cual a la foto",buen batería tamaño tal foto,1,"['buen', 'batería', 'tamaño', 'tal', 'foto']",2,0,Camara,"1,56,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Muy buen producto, bastante funcional, buena calidad",buen producto bastante funcional buen calidad,1,"['buen', 'producto', 'bastante', 'funcional', 'buen', 'calidad']",2,0,Camara,"1,3,75,285,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Buen celular, como siempre iPhone dando la talla",buen celular siempre iphone dar talla,1,"['buen', 'celular', 'siempre', 'iphone', 'dar', 'talla']",1,0,Bateria,"1,14,112,35,151,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,Es tal cual la descripción,tal descripción,0,"['tal', 'descripción']",2,0,Camara,"11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,Es de buena calidad,buen calidad,1,"['buen', 'calidad']",2,0,Camara,"1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Hasta el momento todo ok, pero la caja vino un poco sucia y sin el plástico que trae encima. Espero no tener problemas con el equipo más adelante.",momento caja venir sucio plástico traer encima esperar tener problema equipo adelante,-1,"['momento', 'caja', 'venir', 'sucio', 'plástico', 'traer', 'encima', 'esperar', 'tener', 'problema', 'equipo', 'adelante']",0,-1,Rendimiento,"58,238,26,1948,1134,198,1033,42,139,74,8,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 3 meses,"Todo funciona correctamente, es un alivio tener un proveedor autorizado por apple como es Saga",funcionar correctamente alivio tener proveedor autorizado apple saga,0,"['funcionar', 'correctamente', 'alivio', 'tener', 'proveedor', 'autorizado', 'apple', 'saga']",0,0,Rendimiento,"43,346,1954,139,1955,1956,55,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,es identica ala foto y buena calidad,identico ala foto buen calidad,1,"['identico', 'ala', 'foto', 'buen', 'calidad']",2,0,Camara,"379,438,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Compre con miedo por ser un valor alto, pero saga me da confianza con la forma en comp manejan los pagos y delivery. Me llego rn el tiempo indicado y el producto cumple con mis expectativas",comprar miedo ser valor alto sago confianza formar comp manejar pago delivery llego tiempo indicado producto cumplir expectativa,0,"['comprar', 'miedo', 'ser', 'valor', 'alto', 'sago', 'confianza', 'formar', 'comp', 'manejar', 'pago', 'delivery', 'llego', 'tiempo', 'indicado', 'producto', 'cumplir', 'expectativa']",0,0,Rendimiento,"64,830,69,831,122,918,446,1926,1927,350,436,916,15,40,86,3,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Es igual a la foto, muy buena calidad y el tamaño está perfecto",igual foto buen calidad tamaño perfecto,1,"['igual', 'foto', 'buen', 'calidad', 'tamaño', 'perfecto']",2,1,Camara,"9,4,1,2,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,Compra en el tiempo determinado y con garantía,compra tiempo determinado garantía,0,"['compra', 'tiempo', 'determinado', 'garantía']",0,0,Rendimiento,"22,40,1932,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,Es igual a la foto,igual foto,0,"['igual', 'foto']",2,0,Camara,"9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,Excelente celular,excelente celular,1,"['excelente', 'celular']",0,0,Rendimiento,"6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,De buena calidad,buen calidad,1,"['buen', 'calidad']",2,0,Camara,"1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 9 meses,"Escuche que su batería se degrada en el corto plazo de garantía, no digo que el producto sea malo pero para un Gamer es necesario que la Batería dure más, ademas Apple está indemnizando a usuarios pero con el menor costo del producto final, así que mejor no compren o busquen otras opciones o depende de cada uno si se arriesga cada uno hace con su dinero lo que desea y no lleguen al engorroso trámite de devolución que la mayoría de casos es muy difícil.",escuche bateer degrada corto plazo garantía decir producto malo gamer necesario bateer durar adema apple indemnizar usuario menor costo producto final así mejor comprir buscar opción depender cada arriesga cada hacer dinero desear lleguen engorroso trámite devolución mayoría caso difícil,-1,"['escuche', 'bateer', 'degrada', 'corto', 'plazo', 'garantía', 'decir', 'producto', 'malo', 'gamer', 'necesario', 'bateer', 'durar', 'adema', 'apple', 'indemnizar', 'usuario', 'menor', 'costo', 'producto', 'final', 'así', 'mejor', 'comprir', 'buscar', 'opción', 'depender', 'cada', 'arriesga', 'cada', 'hacer', 'dinero', 'desear', 'lleguen', 'engorroso', 'trámite', 'devolución', 'mayoría', 'caso', 'difícil']",1,-1,Bateria,"1933,37,1934,915,344,191,71,3,5,1939,484,37,348,439,55,1817,679,1094,359,3,914,166,32,913,292,154,912,254,1827,254,48,936,502,1812,1038,1814,518,1822,382,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 4 meses,Lo recogí en Tienda el único inconveniente que tuvo es que no vino con Burbupack sin nada que lo proteja de los golpes .. fue la segunda vez que compré y en la primera  vino muy seguro y también lo recogí en tienda.,recoger tienda único inconveniente venir burbupack proteger golpe segundo vez comprar primero vino seguro recogí tienda,0,"['recoger', 'tienda', 'único', 'inconveniente', 'venir', 'burbupack', 'proteger', 'golpe', 'segundo', 'vez', 'comprar', 'primero', 'vino', 'seguro', 'recogí', 'tienda']",1,-1,Bateria,"340,169,133,145,26,1870,838,841,450,199,64,185,511,142,924,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 4 meses,"Buena, excelente atención por parte del grupo Falabella",buen excelente atención parte grupo falabella,1,"['buen', 'excelente', 'atención', 'parte', 'grupo', 'falabella']",0,0,Rendimiento,"1,6,196,306,1132,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 8 meses,"Lo compre por seguridad bloquea con rostro, huella y contraseña, robado y en 10 minutos hackeado donde me robaron toda la informacion y se metieron desde mi correo a todas las app de bancos, respuesta de apple al avisar robo para boquear equipo que no podian hacer nada ya que solo yo podia bloquear a traves de la web, contraseña que tambien fue cambiada, lo guardado en la nube y por lo cual pagaba mensualmente no lo pueden recuperar porque ellos solo te dan almacenamiento, una burla.",compre seguridad bloqueo rostro huella contraseño robado minuto hackeado robar todo informacion meter correo todo app bancos respuesta apple avisar robo boquear equipo podiar hacer solo podiar bloquear trav web contraseño tambien cambiado guardado nube pagar mensualmente poder recuperar solo dar almacenamiento burlar,0,"['compre', 'seguridad', 'bloqueo', 'rostro', 'huella', 'contraseño', 'robado', 'minuto', 'hackeado', 'robar', 'informacion', 'meter', 'correo', 'app', 'bancos', 'respuesta', 'apple', 'avisar', 'robo', 'boquear', 'equipo', 'podiar', 'hacer', 'solo', 'podiar', 'bloquear', 'trav', 'web', 'contraseño', 'tambien', 'cambiado', 'guardado', 'nube', 'pagar', 'mensualmente', 'poder', 'recuperar', 'solo', 'dar', 'almacenamiento', 'burlar']",1,-1,Bateria,"114,202,1876,954,595,1126,1806,885,1862,1122,1121,1120,1118,540,1856,892,55,1854,1853,1852,8,1115,48,66,1115,964,1850,129,1126,1848,1863,1847,1864,639,1866,61,1881,66,151,152,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Es equipo es tal cual la descripción, llego en buen estado. Se nota la diferencia en la duración de la batería ?? comparado con los iPhone anteriores",equipo tal descripción llego buen nota diferenciar duración baterío comparado iphonar anterior,0,"['equipo', 'tal', 'descripción', 'llego', 'buen', 'nota', 'diferenciar', 'duración', 'baterío', 'comparado', 'iphonar', 'anterior']",1,0,Bateria,"8,11,30,15,1,347,507,155,342,434,34,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,Tiene el zoom de 0.5 a partir de esta versión y en mi caso vino con un case transparente de regalo además de 3 cuotas sin intereses,zoom partir versión caso venir case transparente regalo además cuota interés,0,"['zoom', 'partir', 'versión', 'caso', 'venir', 'case', 'transparente', 'regalo', 'además', 'cuota', 'interés']",1,-1,Bateria,"963,1875,248,382,26,193,881,101,116,269,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 meses,"El rendimiento es increíble, la cámara es excelente y la batería dura todo el día. El diseño también es muy elegante y resistente.",rendimiento increíble cámara excelente batería duro día diseño elegante resistente,1,"['rendimiento', 'increíble', 'cámara', 'excelente', 'batería', 'duro', 'día', 'diseño', 'elegante', 'resistente']",1,0,Bateria,"136,109,20,6,56,41,28,70,106,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 8 meses,"Producto bastante completo, cumple con todo lo ofrecido. Excelente modelo para entrar en todo el ecosistema, al principio puede ser un poco complicado, pero es bastante fácil y intuitivo adaptarse. 128Gb bastan para el uso normal, en lo personal lo ocupo mucho para trabajo y un poco para fotos, nada de juegos. La batería de momento (mas de 1 mes de uso) me dura todo el día y un poco mas. De mas esta decir su cámara, la cual es genial y tiene un monto de personalización",producto bastante completo cumple ofrecido excelente modelo entrar ecosistema principio poder ser complicar bastante fácil intuitivo adaptar él bastar uso normal personal ocupo trabajo foto juegos bateer momento mas mes uso duro día mas mas decir cámara genial monto personalización,1,"['producto', 'bastante', 'completo', 'cumple', 'ofrecido', 'excelente', 'modelo', 'entrar', 'ecosistema', 'principio', 'poder', 'ser', 'complicar', 'bastante', 'fácil', 'intuitivo', 'adaptar', 'bastar', 'uso', 'normal', 'personal', 'ocupo', 'trabajo', 'foto', 'juegos', 'bateer', 'momento', 'mas', 'mes', 'uso', 'duro', 'día', 'mas', 'mas', 'decir', 'cámara', 'genial', 'monto', 'personalización']",1,1,Bateria,"3,75,192,395,313,6,77,962,1052,961,61,69,960,75,164,430,1046,1045,91,277,264,1044,186,4,255,37,58,100,124,91,41,28,100,100,71,20,50,930,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,"Si es de el tamaño de la foto, me desconcertó un poco que las cajas ambas vengan manchadas",tamaño foto desconcertar caja ambos vengar manchada,0,"['tamaño', 'foto', 'desconcertar', 'caja', 'ambos', 'vengar', 'manchada']",2,0,Camara,"7,4,1813,238,1039,1811,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Igual a la fotografía, color lindo! y excelente procesador",igual fotografía color lindo excelente procesador,1,"['igual', 'fotografía', 'color', 'lindo', 'excelente', 'procesador']",2,0,Camara,"9,141,13,99,6,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"Excelente calidad, lo que se podría esperar de un iPhone",excelente calidad poder esperar iphone,1,"['excelente', 'calidad', 'poder', 'esperar', 'iphone']",0,0,Rendimiento,"6,2,61,42,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
