Producto,Marca,Modelo,Calificación,Fecha,Texto,texto_limpio,sentimiento
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 8 meses,"Lo compre por seguridad bloquea con rostro, huella y contraseña, robado y en 10 minutos hackeado donde me robaron toda la informacion y se metieron desde mi correo a todas las app de bancos, respuesta de apple al avisar robo para boquear equipo que no podian hacer nada ya que solo yo podia bloquear a traves de la web, contraseña que tambien fue cambiada, lo guardado en la nube y por lo cual pagaba mensualmente no lo pueden recuperar porque ellos solo te dan almacenamiento, una burla.",compre seguridad bloqueo rostro huella contraseño robado minuto hackeado robar todo informacion meter correo todo app bancos respuesta apple avisar robo boquear equipo podiar hacer solo podiar bloquear trav web contraseño tambien cambiado guardado nube pagar mensualmente poder recuperar solo dar almacenamiento burlar,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Es equipo es tal cual la descripción, llego en buen estado. Se nota la diferencia en la duración de la batería ?? comparado con los iPhone anteriores",equipo tal descripción llego buen nota diferenciar duración baterío comparado iphonar anterior,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,Tiene el zoom de 0.5 a partir de esta versión y en mi caso vino con un case transparente de regalo además de 3 cuotas sin intereses,zoom partir versión caso venir case transparente regalo además cuota interés,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 meses,"El rendimiento es increíble, la cámara es excelente y la batería dura todo el día. El diseño también es muy elegante y resistente.",rendimiento increíble cámara excelente batería duro día diseño elegante resistente,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 8 meses,"Producto bastante completo, cumple con todo lo ofrecido. Excelente modelo para entrar en todo el ecosistema, al principio puede ser un poco complicado, pero es bastante fácil y intuitivo adaptarse. 128Gb bastan para el uso normal, en lo personal lo ocupo mucho para trabajo y un poco para fotos, nada de juegos. La batería de momento (mas de 1 mes de uso) me dura todo el día y un poco mas. De mas esta decir su cámara, la cual es genial y tiene un monto de personalización",producto bastante completo cumple ofrecido excelente modelo entrar ecosistema principio poder ser complicar bastante fácil intuitivo adaptar él bastar uso normal personal ocupo trabajo foto juegos bateer momento mas mes uso duro día mas mas decir cámara genial monto personalización,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,"Si es de el tamaño de la foto, me desconcertó un poco que las cajas ambas vengan manchadas",tamaño foto desconcertar caja ambos vengar manchada,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Igual a la fotografía, color lindo! y excelente procesador",igual fotografía color lindo excelente procesador,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"Excelente calidad, lo que se podría esperar de un iPhone",excelente calidad poder esperar iphone,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Muy bien ,  llegó en buen estado ,buena calidad de fotos",bien llegar buen buen calidad foto,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 9 meses,Igual a la foto y corresponde a la calidad esperada,igual foto corresponder calidad esperado,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,Es más pequeño de lo que pensé,pequeño pensar,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 11 meses,Toma buenas fotos,tomar buena foto,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,Todo bien,bien,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 9 meses,Todo ok,,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Todo corresponde pero debería venir con el cargador completo, ya que solo está el cable le falta ella cabeza para conectar en em interruptor",corresponder deber venir cargador completo solo cable faltar cabeza conectar interruptor,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El tamaño del equipo es perfecto considerando que lo utilizo normalmente en los bolsillos traseros del pantalón. La capacidad de almacenaje es muy buena ya que puedo guardar una gran cantidad de fotos y videos sin saturarlo. Pese a que mantengo una gran cantidad de aplicaciones abiertas al mismo tiempo, el equipo funciona bastante rápido y sin pausas. La cámara funciona muy bien y las fotos son excelentes.",tamaño equipo perfecto considerar utilizo normalmente bolsillo trasero pantalón capacidad almacenaje buen poder guardar gran cantidad foto video saturar él pese mantengo gran cantidad aplicación abierto mismo tiempo equipo funcionar bastante rápido pausa cámaro funcionar bien foto excelente,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Un excelente producto, con las mejores condiciones. Lo pedí en azul marino y me quedó super elegante.",excelente producto mejor condición pedí azul marino quedar super elegante,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"El pedido llego en buen estado, sellado y rápido, es completamente nuevo. Ya llevo usándolo unos días y sinceramente me gusta mucho, las fotos también salen muy bien, estoy feliz con este equipo",pedido llego buen sellado rápido completamente nuevo llevar usándolo día sinceramente gustar foto salir bien feliz equipo,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Muy buena calidad, tal cual las fotos y lo que elegí. Es mi primer iPhone, vengo de Android de toda la vida, quedé fascinado. La cámara trasera y frontal son buenísimas, los parlantes muy buenos, me sorprendieron para bien. El tamaño para mí al menos, es perfecto, por eso también existe la versión mini para quien lo prefiera, sin duda lo recomiendo, producto de muy buena calidad.",buen calidad tal foto elegí primero iphone venir android todo vida quedé fascinado cámara trasero frontal buenísima parlant buen sorprender bien tamaño menos perfecto existir versión mini preferir duda recomeir producto buen calidad,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Es un excelente teléfono, lo compré para mi polola de regalo y la calidad es excepcional. El sistema operativo es muy bueno, no se pega nunca, la calidad general del teléfono es premium, pantalla excelente para juegos y contenido multimedia y las cámaras de lo mejor del mercado, sensores muy buenos que dan fotos con una excelente nitidez y colores vivos. Recomendado al 100%.",excelente teléfono comprar polola regalo calidad excepcional sistema operativo bueno pegar nunca calidad general teléfono premium pantalla excelente juegos contenido multimedia cámara mejor mercado sensor buen dar foto excelente nitidez color vivo recomendado,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Es un IPhone. En cuanto a funcionalidad e interfaz el cambio no es relevante frente a sus antecesores, rápido, excelente cámara, excelente sonido para un uso medio, más laboral y RRSS que uso multimedia la batería dura 1,5 días sin problemas en promedio. Detalles a mejorar, el precio es demasiado elevado, no es compatible con Google Pay, y Apple Pay aún no llega a Chile.",iphone cuanto funcionalidad interfaz cambio relevante frente antecesor rápido excelente cámara excelente sonido uso medio laboral rrs uso multimedia batería duro día problema promedio detall mejorar precio demasiado elevado compatible google pay apple pay aún llegar chile,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 21 días,"El equipo cumple las expectativas descritas por la marca en varios sentidos:- Imagen y/o resolución.- Velocidad. (procesador)- Fotografía (Alta calidad de imagen), lo que sin duda ya no tienes necesidad de llevar otro aparato para la captura de momentos inolvidables.- Almacenamiento ideal.- Peso y tamaño ideal para el bolsillo.- Batería de alta duración.",equipo cumplir expectativa descrito marcar varios imagen resolución velocidad procesador fotografía alto calidad imagen dudar necesidad llevar aparato capturo momento inolvidable almacenamiento ideal peso tamaño ideal bolsillo batería alto duración,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,Buen bueno y elegante,buen bueno elegante,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El producto es idéntico a la imagen, yo pase de un iPhone 11 a un 13 y el cambio en lo que respecta a la batería si se nota, en cuanto el peso es un poco más ligero y cómodo al ver cuadrado los bordes. Solo recomiendo que el adaptador de carga que usen intente que sea original o uno de buena cálida porque se traba un poco con adaptadores de mala calidad",producto idéntico imagen pasar iphonar cambio respecto batería noto cuanto peso ligero cómodo ver cuadrado borde solo recomeir adaptador carga usen intentar original buen cálida trar adaptador malo calidad,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 11 meses,Llevo dos meses y se queda pegado mi celular sin considerar que por capacidad no debiese tenia el iPhone XS que tenia menos capacidad y jamás me pasó eso el producto no tuvo golpes ni nada y aún así solo presenta fallas !!creo Justo el mío venía con fallas aún así recomiendo 100%. Apple y iPhone solo que el mío venía con fallas de origen,llevar dos mes quedar pegado celular considerar capacidad debiese tenia iphonar tenia menos capacidad jamás pasar producto golpe aún así solo presentar falla creer justo venir falla aún así recomeir apple iphone solo venir falla origen,NEG
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,El tamaño es tal cual en la descripción del producto,tamaño tal descripción producto,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Considero que es un buen teléfono lindo y todo pero no se si valga mucho la pena por el precio, creo que aun esta demasiado elevado el precio y quizás sea un gasto mas o menos innecesario si tenés un buen celular y solo querés cambiarlo por cambiarlo.Hice retiro en tienda y creo que es la mejor opción a la hora de comprarlo",considerar buen teléfono lindo valga pena precio creer aun demasiado elevado precio quizás gasto mas menos innecesario tenés buen celular solo querés cambiar él cambiarlohice retiro tienda creer mejor opción horo comprar él,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,Fue igual a la descripción,igual descripción,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"Producto 100% recomendado,",producto recomendado,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Llegó dentro de la fecha y estaba todo ok. La único fome es que Apple cada vez te hacen comprar todos los accesorios por separado. Ya no trae audífonos, no trae el enchufe para el caegador solo trae el cable que por un lado es de 30 pines y por el otro es usb-C, por ende no sirve cualquiera adaptador de usb normal.",llegar dentro fecha único fome apple cada vez hacer comprar accesorio separado traer audífono traer enchufe caegador solo traer cable lado pín usbc ende servir cualquiera adaptador usb normal,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,2 de 5 estrellas.,hace 6 meses,Estubo regular,estubo regular,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Liviano, elegante, muy rapido, sonido muy bueno, fácil de configurar si estas cambiando de iPhone, tiene una aplicación que lo hace solo y asi no pierdes nada, ni siquiera las fotos del whatsApp  que no hayas bajado a tu equipo antiguo.debes tener IOS14 eso si. iPhone siempre es sinónimo de calidad a largo plazo",liviano elegante rapido sonido bueno fácil configurar cambiar iphone aplicación hacer solo asi pierd siquiera foto whatsapp bajado equipo antiguodebes tener io iphonar siempre sinónimo calidad largo plazo,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 2 años,"Nunca pude disfrutar del privilegio de tan connotado equipo, porque me hackearon facilmente la tarjeta CMR y el ladron se lo compró y ahora me llega un correo diciendome que cuente mi experiencia. No puedo hablar del telefono Pero no recomiendo la CMR, muy fácil de hackear, solo tome un Didi y listo.",nunca poder disfrutar privilegio tanto connotado equipo hackear facilmente tarjeta cmr ladron comprar ahora llegar correo diciendomar cuente experiencia poder hablar telefono recomeir cmr fácil hackear solo tomar didi listo,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,"Como siempre apple se caracteriza por buenos productos, en este caso regalo para mi esposa, feliz con su nuevo telefono, eso si, vale decir que viene con IOS 11 y si quieres pasar tu antigua info de manera espejo, debes actualizarlo primero a la 15, para luego si hacer las transferencia, lo demás todo ok",siempre apple caracterizar buen producto caso regalo esposa feliz nuevo telefono valer decir venir io quier pasar antiguo info manera espejo deber actualizar él primero luego hacer transferencia demá,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Excelente pantalla Oled, nítida y muy bien iluminada, teléfono robusto de piezas premium. Cámara para fotos decente, para grabar vídeos es una maravilla, compatible con Dolby atmos y Dolby vision. O sea, sonido hi fi e imagen profesional. La batería es duradera, Apple ha mejorado harto en ese aspecto.",excelente pantalla oled nítido bien iluminado teléfono robusto pieza premium cámar foto decente grabar vídeo maravillo compatible dolby atmos dolby vision sonido imagen profesional bateer duradero apple mejorado harto aspecto,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El tamaño y peso son cómodos. Varias herramientas útiles para organizarse, buena cámara incluso en ambientes bien oscuros. Buen procesador, los juegos me han funcionado sin problemas. La batería dura lo suficiente para el día. Además tiene un diseño muy lindo, estoy contenta con la compra.",tamaño peso cómodo varios herramienta útil organizar él buen cámara incluso ambiente bien oscuro buen procesador juegos funcionado problema bateer duro suficiente día además diseño lindo contentar compra,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El iphone 13 es excelente, rapido, buen tamaño, excelente cámara con alta definición, cumplió mis expectativas. El color rosa es como pastel pero es hermosoo!! Lo ame!! Buena duración de batería, facil de manejar, reconocimiento facil incluso con la mascarilla, feliz con mi compra ??",iphonar excelente rapido buen tamaño excelente cámara alto definición cumplir expectativa color rosa pastel hermosoo ame buen duración bateer facil manejar reconocimiento facil incluso mascarilla feliz compra,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Un producto de excelente tecnología pero su accesibilidad es menos eficiente que anteriores versiones por carecer de la función huella.  Igualmente lo prefiero por la diferencia de precio con otras versiones que si la tienen disponible, ya me estoy acostumbrando.Muy recomendable !!",producto excelente tecnología accesibilidad menos eficiente anterior versión carecer función huella igualmente preferir diferencia precio versión disponible acostumbrandomuy recomendable,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Teléfono de buenas prestaciones, batería que dura bastante carece de algunas características de otros Teléfonos de similar precio.Con respecto a la experiencia de compra, fue muy buena se compró durante la mañana y durante la tarde se realizó el retiro sin mayores contratiempos.",teléfono buena prestación bateer duro bastante carecer característica teléfonos similar preciocon respecto experiencia compro buen comprar mañana tarde realizar retiro mayor contratiempo,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Muy buen equipo, iPhone casi siempre salen muy buenos, este en particular tiene buena memoria, peso, pantalla, cámara, estaba además en un muy buen descuento, no alcancé la primera vez pero vi que cada cierto tiempo lanzan la promoción y conviene mucho, sobretodo con CMR.",buen equipo iphonar casi siempre salir buen particular buen memoria peso pantalla cámar además buen descuento alcancé primero vez cada cierto tiempo lanzar promoción convenir sobretodo cmr,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Llegó el día acordado y el repartidor me sugirió abrirlo de inmediato para mi tranquilidad y la de él. Todo venía en perfecto estado. El teléfono es muy rápido y fácil de usar. La cámara muy nítida y viene también para grabar en modo cine, los videos quedan geniales.",llegar día acordado repartidor sugerir abrir él inmediato tranquilidad venir perfecto teléfono rápido fácil usar cámara nítido venir grabar modo cine video quedar genial,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Es primera vez que compro un iPhone y la verdad estoy muy contenta con haberlo hecho, llevo más de una semana usándolo y ningún problema, la batería dura bastante para el uso que le doy, además, de que tienen gran capacidad de memoria y calidad fotográfica muy buena",primero vez compro iphonar verdad contentar haber él hacer llevo semana usándolo ninguno problema bateer duro bastante uso dar además gran capacidad memorio calidad fotográfico buen,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Al ser mi primera experiencia con apple, debo decir, que fue la mejor decisión adquirir este producto. Resulta ser bastante rápido el sistema, y la batería dura aprox 1 día.La cámara trasera tiene buena resolución, y el peso del teléfono es medianamente ligero.",ser primero experiencia apple deber decir mejor decisión adquirir producto resultar ser bastante rápido sistema bateer duro aprox díalo cámara trasero buen resolución peso teléfono medianamente ligero,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"BUEN PRODUCTO ES MUY RÁPIDO, LIVIANO Y FÁCIL DE USAR TENIA MIEDO DE NO ADAPTARME PORQUE SIEMPRE MANEJE ANDROID  PERO ES SENCILLO Y TIENE UNA PANTALLA INCREÍBLE. LO RETIRE EN TIENDA  FALABELLA RESPONSABLE CON LOS PLAZOS ESTABLECIDOS, SUPER CONFORME CON LA COMPRA.",buen producto rápido liviano fácil usar tenia miedo adaptarme siempre manejar android sencillo pantalla increíble retire tienda falabella responsable plazo establecido super conforme compra,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El teléfono cumplió ampliamente mis expectativas, ya que es rápido, cómodo para usar y con la memoria suficiente para mis necesidades. Tiene un acabado elegante y un tamaño justo. La infinidad de aplicaciones lo hace ser adaptable para cualquier persona.",teléfono cumplir ampliamente expectativa rápido cómodo usar memoria suficiente necesidad acabado elegante tamaño justo infinidad aplicación hacer ser adaptable cualquiera persona,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,El producto lo compre con descuento en la tienda anda bien se siente muy bien fue un salto del 8 al 13 así que se nota la diferencia lo único al sacarlo en cuotas (6) me subió como 80.000 más de lo que me costo pero en fin el producto  Anda súper bien,producto compre descuento tienda anda bien bien saltar así noto diferenciar único sacar él cuota subir costo fin producto anda súper bien,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Si bien es cierto es un teléfono de alta gama, donde la batería rinde eficientemente. El manejo de la cámara no es tan eficiente. Para el valor podría traer de fabrica una opción de manejo Manual de todos los parámetros.El resto nada que decir",bien cierto teléfono alto gama baterío rendir eficientemente manejo cámar tanto eficiente valor poder traer fabrico opción manejo manual parámetrosel resto decir,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 8 meses,"El Iphone 13  es un equipo  excelente, rápido para procesar  información, para abrir documentos,  para  interactuar con  las Apps, tiene excelente audio y en esta versión las fotografías han sido mejoradas.   Feliz con mi renovación de  equipo.",iphone equipo excelente rápido procesar información abrir documento interactuar apps excelente audio versión fotografía sido mejorar feliz renovación equipo,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El celular es increíble, es muy rápido, tecnología increíble, el diseño es impecable y tiene opciones nuevas que lo hacen muy útil como el modo cine, la batería dura demasiado y ahorra energía, añadiendo que lo entregan con garantía, excelente",celular increíble rápido tecnología increíble diseño impecable opción nuevo hacer útil modo cine batería duro demasiado ahorra energío añadir entregar garantía excelente,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El dispositivo sin duda cumple con un rendimiento excelente y por sobretodo batería y cámara excepcional, me ha ayudado bastante en mi trabajo sobretodo por este último punto. En lo que se refiere a la entrega fue bastante rápida y expedita",dispositivo dudar cumplir rendimiento excelente sobretodo bateer cámara excepcional ayudado bastante trabajo sobretodo último punto referir entrega bastante rápido expedito,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Buen equipo, mas rápido que las versiones anteriores, el tema de que tenga mayor capacidad de memoria, el tema de que no traiga el cargador, complica un poco, pero el cable que trae lo conecto al equipo, y carga mas rápido de lo normal.",buen equipo mas rápido versión anterior tema mayor capacidad memorio tema traiga cargador complicar cable traer conecto equipo cargar mas rápido normal,NEU
