Producto,Marca,Modelo,Calificación,Fecha,Texto
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,Es más pequeño de lo que pensé
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 11 meses,Toma buenas fotos
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,Todo bien
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 9 meses,Todo ok
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 3 meses,¿Te fue útil este comentario?
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,¿Te fue útil este comentario?
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Todo corresponde pero debería venir con el cargador completo, ya que solo está el cable le falta ella cabeza para conectar en em interruptor"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El tamaño del equipo es perfecto considerando que lo utilizo normalmente en los bolsillos traseros del pantalón. La capacidad de almacenaje es muy buena ya que puedo guardar una gran cantidad de fotos y videos sin saturarlo. Pese a que mantengo una gran cantidad de aplicaciones abiertas al mismo tiempo, el equipo funciona bastante rápido y sin pausas. La cámara funciona muy bien y las fotos son excelentes."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Un excelente producto, con las mejores condiciones. Lo pedí en azul marino y me quedó super elegante."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"El pedido llego en buen estado, sellado y rápido, es completamente nuevo. Ya llevo usándolo unos días y sinceramente me gusta mucho, las fotos también salen muy bien, estoy feliz con este equipo"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Muy buena calidad, tal cual las fotos y lo que elegí. Es mi primer iPhone, vengo de Android de toda la vida, quedé fascinado. La cámara trasera y frontal son buenísimas, los parlantes muy buenos, me sorprendieron para bien. El tamaño para mí al menos, es perfecto, por eso también existe la versión mini para quien lo prefiera, sin duda lo recomiendo, producto de muy buena calidad."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Es un excelente teléfono, lo compré para mi polola de regalo y la calidad es excepcional. El sistema operativo es muy bueno, no se pega nunca, la calidad general del teléfono es premium, pantalla excelente para juegos y contenido multimedia y las cámaras de lo mejor del mercado, sensores muy buenos que dan fotos con una excelente nitidez y colores vivos. Recomendado al 100%."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Es un IPhone. En cuanto a funcionalidad e interfaz el cambio no es relevante frente a sus antecesores, rápido, excelente cámara, excelente sonido para un uso medio, más laboral y RRSS que uso multimedia la batería dura 1,5 días sin problemas en promedio. Detalles a mejorar, el precio es demasiado elevado, no es compatible con Google Pay, y Apple Pay aún no llega a Chile."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 21 días,"El equipo cumple las expectativas descritas por la marca en varios sentidos:- Imagen y/o resolución.- Velocidad. (procesador)- Fotografía (Alta calidad de imagen), lo que sin duda ya no tienes necesidad de llevar otro aparato para la captura de momentos inolvidables.- Almacenamiento ideal.- Peso y tamaño ideal para el bolsillo.- Batería de alta duración."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,Buen bueno y elegante
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El producto es idéntico a la imagen, yo pase de un iPhone 11 a un 13 y el cambio en lo que respecta a la batería si se nota, en cuanto el peso es un poco más ligero y cómodo al ver cuadrado los bordes. Solo recomiendo que el adaptador de carga que usen intente que sea original o uno de buena cálida porque se traba un poco con adaptadores de mala calidad"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 11 meses,Llevo dos meses y se queda pegado mi celular sin considerar que por capacidad no debiese tenia el iPhone XS que tenia menos capacidad y jamás me pasó eso el producto no tuvo golpes ni nada y aún así solo presenta fallas !!creo Justo el mío venía con fallas aún así recomiendo 100%. Apple y iPhone solo que el mío venía con fallas de origen
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,El tamaño es tal cual en la descripción del producto
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Considero que es un buen teléfono lindo y todo pero no se si valga mucho la pena por el precio, creo que aun esta demasiado elevado el precio y quizás sea un gasto mas o menos innecesario si tenés un buen celular y solo querés cambiarlo por cambiarlo.Hice retiro en tienda y creo que es la mejor opción a la hora de comprarlo"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,Fue igual a la descripción
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"Producto 100% recomendado,"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Llegó dentro de la fecha y estaba todo ok. La único fome es que Apple cada vez te hacen comprar todos los accesorios por separado. Ya no trae audífonos, no trae el enchufe para el caegador solo trae el cable que por un lado es de 30 pines y por el otro es usb-C, por ende no sirve cualquiera adaptador de usb normal."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,2 de 5 estrellas.,hace 6 meses,Estubo regular
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Liviano, elegante, muy rapido, sonido muy bueno, fácil de configurar si estas cambiando de iPhone, tiene una aplicación que lo hace solo y asi no pierdes nada, ni siquiera las fotos del whatsApp  que no hayas bajado a tu equipo antiguo.debes tener IOS14 eso si. iPhone siempre es sinónimo de calidad a largo plazo"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,¿Te fue útil este comentario?
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,¿Te fue útil este comentario?
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 3 meses,¿Te fue útil este comentario?
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 2 años,"Nunca pude disfrutar del privilegio de tan connotado equipo, porque me hackearon facilmente la tarjeta CMR y el ladron se lo compró y ahora me llega un correo diciendome que cuente mi experiencia. No puedo hablar del telefono Pero no recomiendo la CMR, muy fácil de hackear, solo tome un Didi y listo."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,"Como siempre apple se caracteriza por buenos productos, en este caso regalo para mi esposa, feliz con su nuevo telefono, eso si, vale decir que viene con IOS 11 y si quieres pasar tu antigua info de manera espejo, debes actualizarlo primero a la 15, para luego si hacer las transferencia, lo demás todo ok"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Excelente pantalla Oled, nítida y muy bien iluminada, teléfono robusto de piezas premium. Cámara para fotos decente, para grabar vídeos es una maravilla, compatible con Dolby atmos y Dolby vision. O sea, sonido hi fi e imagen profesional. La batería es duradera, Apple ha mejorado harto en ese aspecto."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El tamaño y peso son cómodos. Varias herramientas útiles para organizarse, buena cámara incluso en ambientes bien oscuros. Buen procesador, los juegos me han funcionado sin problemas. La batería dura lo suficiente para el día. Además tiene un diseño muy lindo, estoy contenta con la compra."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El iphone 13 es excelente, rapido, buen tamaño, excelente cámara con alta definición, cumplió mis expectativas. El color rosa es como pastel pero es hermosoo!! Lo ame!! Buena duración de batería, facil de manejar, reconocimiento facil incluso con la mascarilla, feliz con mi compra ??"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Un producto de excelente tecnología pero su accesibilidad es menos eficiente que anteriores versiones por carecer de la función huella.  Igualmente lo prefiero por la diferencia de precio con otras versiones que si la tienen disponible, ya me estoy acostumbrando.Muy recomendable !!"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Teléfono de buenas prestaciones, batería que dura bastante carece de algunas características de otros Teléfonos de similar precio.Con respecto a la experiencia de compra, fue muy buena se compró durante la mañana y durante la tarde se realizó el retiro sin mayores contratiempos."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Muy buen equipo, iPhone casi siempre salen muy buenos, este en particular tiene buena memoria, peso, pantalla, cámara, estaba además en un muy buen descuento, no alcancé la primera vez pero vi que cada cierto tiempo lanzan la promoción y conviene mucho, sobretodo con CMR."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Llegó el día acordado y el repartidor me sugirió abrirlo de inmediato para mi tranquilidad y la de él. Todo venía en perfecto estado. El teléfono es muy rápido y fácil de usar. La cámara muy nítida y viene también para grabar en modo cine, los videos quedan geniales."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Es primera vez que compro un iPhone y la verdad estoy muy contenta con haberlo hecho, llevo más de una semana usándolo y ningún problema, la batería dura bastante para el uso que le doy, además, de que tienen gran capacidad de memoria y calidad fotográfica muy buena"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Al ser mi primera experiencia con apple, debo decir, que fue la mejor decisión adquirir este producto. Resulta ser bastante rápido el sistema, y la batería dura aprox 1 día.La cámara trasera tiene buena resolución, y el peso del teléfono es medianamente ligero."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"BUEN PRODUCTO ES MUY RÁPIDO, LIVIANO Y FÁCIL DE USAR TENIA MIEDO DE NO ADAPTARME PORQUE SIEMPRE MANEJE ANDROID  PERO ES SENCILLO Y TIENE UNA PANTALLA INCREÍBLE. LO RETIRE EN TIENDA  FALABELLA RESPONSABLE CON LOS PLAZOS ESTABLECIDOS, SUPER CONFORME CON LA COMPRA."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El teléfono cumplió ampliamente mis expectativas, ya que es rápido, cómodo para usar y con la memoria suficiente para mis necesidades. Tiene un acabado elegante y un tamaño justo. La infinidad de aplicaciones lo hace ser adaptable para cualquier persona."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,El producto lo compre con descuento en la tienda anda bien se siente muy bien fue un salto del 8 al 13 así que se nota la diferencia lo único al sacarlo en cuotas (6) me subió como 80.000 más de lo que me costo pero en fin el producto  Anda súper bien
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Si bien es cierto es un teléfono de alta gama, donde la batería rinde eficientemente. El manejo de la cámara no es tan eficiente. Para el valor podría traer de fabrica una opción de manejo Manual de todos los parámetros.El resto nada que decir"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 8 meses,"El Iphone 13  es un equipo  excelente, rápido para procesar  información, para abrir documentos,  para  interactuar con  las Apps, tiene excelente audio y en esta versión las fotografías han sido mejoradas.   Feliz con mi renovación de  equipo."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El celular es increíble, es muy rápido, tecnología increíble, el diseño es impecable y tiene opciones nuevas que lo hacen muy útil como el modo cine, la batería dura demasiado y ahorra energía, añadiendo que lo entregan con garantía, excelente"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El dispositivo sin duda cumple con un rendimiento excelente y por sobretodo batería y cámara excepcional, me ha ayudado bastante en mi trabajo sobretodo por este último punto. En lo que se refiere a la entrega fue bastante rápida y expedita"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Buen equipo, mas rápido que las versiones anteriores, el tema de que tenga mayor capacidad de memoria, el tema de que no traiga el cargador, complica un poco, pero el cable que trae lo conecto al equipo, y carga mas rápido de lo normal."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"En estos momentos es una muy buena opción, la verdad funciona muy bien, la batería dura un montón, se desenvuelve muy rápido entre aplicaciones, aprovecha el 5G, el uso de esim y el Face ID es muy cómodo . Muy contento con el celular."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 2 años,"El telefono llegó malo. Lo encendí y la pantalla quedo verde.Me indican que tengo que esperar 12 dias hábiles, para que el servicio técnico, corrobore que no fue golpeado, mientras tanto  tengo que esperar. Es una verguenza."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Soy usuaria habitual de iPhone y se aprecian algunas mejoras en cuanto al rendimiento de la batería y calidad de la cámara lo demás se iguala con las otras versiones , llevo 1 mes de uso del equipo y no he tenido problemas"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Cumple las características esperadas, el rendimiento es súper fluido, la cámara es de una resolución súper definida en este producto, y su diseño da una imagen de elegancia que lo hace aún más completo. Excelente Compra."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Cambié el iPhone 11 por el 13 y las mayores diferencias son que este último es más liviano, la batería dura más y la pantalla OLED se ve mejor. El IOS 15 hace lo suyo. La cámara con las nuevas funciones también cumplen."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El producto llegó rápido y no tengo objeción lo que si, mi compra fue por días del black out y confié en las 10 cuotas y luego en la compra aparece el interés, por ende estoy en proceso de devolución si no hay solución"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Yo pase de un iPhone XR al 13 y se nota bastante la diferencia, las camara saca fotos de muy buena calidad, la carga me dura todo el día y el tamaño es perfecto, ni muy grande, ni muy chico y viene con bastante memoria"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"iPhone como siempre es lo mejor en teléfonos de calidad. Rápido. Resistente. Suave para tocar la pantalla. Software avanzado en todo sentido, muy intuitivo para usar. Seguridad anti rastreadores de internet. Perfecto."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Excelente imagen, dura bastante la batería, el color es hermoso. Aproveché las 10 cuotas precio contado, además en falabella estaba a un bajo precio comparado con otras tiendas, según características del producto."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Me encanto el telefono, la estetica y los materiales con los que esta construido son muy buenos, amplia variedad de colores. En cuanto al sofware sigo eligiendo IOS ya que a mi parecer es mas fluido que android"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Me encanto el color de la parte posterior del celular, incluso es mas bonito de como se ve en la pagina, tamaño super cómodo,es igual como lo describen, y lo mas genial es que la batería dura mas de 24 horas..."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Hacía poco había tenido la oportunidad de tener un iPhone 11, pero este realmente lo superó por mucho. Es increíble el salto de calidad en todo aspecto, especialmente en la cámara y batería. Lo recomiendo 100%"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Mi experiencia con mi Iphone es genial,excelente camara,muy comodo al usarlo y hermoso esteticamente,recomendable al 100%,por precio y calidad solo Falabella me dio laposibilidad de temer este fabuloso equipo."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"El celular es hermoso y de buena calidad, la cámara excelente, me encanta todo, a pesar de que demoraron en la entrega del producto y me senti un poco disgustada pero respecto al equipo hasta ahora todo bien"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Es un celular muy bonito, del tamaño Justo. Sus funciones depende obviamente para lo que necesites . Yo como diseñadora lo encuentro perfecto. Organizo mi agenda, busco diseños, saca increíbles fotos."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El tamaño es perfecto, su color es igual a la fotografía y cumple con todas las características descritas en el producto.Me encanto completamente!!!Su cámara es demasiado bueno Lo recomiendo!!!"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Las fotos fueron buenas para dimensionar lo que sería el teléfono en la mano, ya que sus bordes son rectangulares y no ovalados como los iphone de menor generación.Tiene buen peso.Esta muy bacan"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Iphone 13 tienen una tremenda cámara, buen tamaño y este lo compramos en una tienda física de Falabella pero por internet (un vendedor nos ayudo) con una super oferta con la tarjeta Falabella."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Me encanta mi celular, lo compré hace algunos meses y es genial, fotos excelentes, muy nítidas, videos de buena calidad, lo uso para el trabajo y en general no hay muchos virus para iphone"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Hasta el momento la batería se ha comportado bien con aplicaciones que requieren de un gran consumo de esta, los gráficos y el tiempo de respuesta son idóneos, por ahora ningún defecto"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"iPhone 13 excelente, demasiado rápido, la carga dura mucho más de 12 horas. Lo uso además para jugar online, en horario de trabajo, y como entretenimiento de música, película y videos."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Muy buen equipo! Excelente resolucion en la camara! Cambia mucho del 11 que tenia ahora al 13, peso liviano, tamaño acorde y la bateria le dura muchisimo! Levanta muy bien la red 5G"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El equipo es una tremenda inversión, en calidad, seguridad, es fácil de usar, el tamaño es perfecto ni grande ni pequeño, y corresponde a las medidas ofrecidas por el fabricante."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace un mes,"Despacho super tardío sin ninguna explicación, el envase viene sin sello de celofán (no sé si lo trae) además lo tiraron por arriba de la reja y no viene xon protección plástica."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Adquirí este producto hace aproximadamente un mes y hasta ahora se ha comportado impecablemente, llego en el horario y fecha indicado, así que estoy muy conforme con la compra."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,3 de 5 estrellas.,hace 2 años,"Pasaron 12 meses y se reventó el parlante y no escucho absolutamente nada cuando me llaman , espero que la garantía lo cubra . Primera vez que tengo un iPhone con problemas ."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Llevo un poco más de una semana usándolo y muy rápido, pasé del iPhone 11 al 13 y se notan los cambios, hasta el momento funciona muy bien, buena batería, excelente camara"
