Producto,Marca,Modelo,Calificación,Fecha,Texto,texto_limpio,sentimiento,tokens,dominant_topic
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 3 meses,"Todo funciona correctamente, es un alivio tener un proveedor autorizado por apple como es Saga",funcionar correctamente alivio tener proveedor autorizado apple saga,NEU,"['funcionar', 'correctamente', 'alivio', 'tener', 'proveedor', 'autorizado', 'apple', 'saga']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,es identica ala foto y buena calidad,identico ala foto buen calidad,POS,"['identico', 'ala', 'foto', 'buen', 'calidad']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Compre con miedo por ser un valor alto, pero saga me da confianza con la forma en comp manejan los pagos y delivery. Me llego rn el tiempo indicado y el producto cumple con mis expectativas",comprar miedo ser valor alto sago confianza formar comp manejar pago delivery llego tiempo indicado producto cumplir expectativa,NEU,"['comprar', 'miedo', 'ser', 'valor', 'alto', 'sago', 'confianza', 'formar', 'comp', 'manejar', 'pago', 'delivery', 'llego', 'tiempo', 'indicado', 'producto', 'cumplir', 'expectativa']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Es igual a la foto, muy buena calidad y el tamaño está perfecto",igual foto buen calidad tamaño perfecto,POS,"['igual', 'foto', 'buen', 'calidad', 'tamaño', 'perfecto']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,Compra en el tiempo determinado y con garantía,compra tiempo determinado garantía,NEU,"['compra', 'tiempo', 'determinado', 'garantía']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,Es igual a la foto,igual foto,NEU,"['igual', 'foto']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,Excelente celular,excelente celular,POS,"['excelente', 'celular']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,De buena calidad,buen calidad,POS,"['buen', 'calidad']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 9 meses,"Escuche que su batería se degrada en el corto plazo de garantía, no digo que el producto sea malo pero para un Gamer es necesario que la Batería dure más, ademas Apple está indemnizando a usuarios pero con el menor costo del producto final, así que mejor no compren o busquen otras opciones o depende de cada uno si se arriesga cada uno hace con su dinero lo que desea y no lleguen al engorroso trámite de devolución que la mayoría de casos es muy difícil.",escuche bateer degrada corto plazo garantía decir producto malo gamer necesario bateer durar adema apple indemnizar usuario menor costo producto final así mejor comprir buscar opción depender cada arriesga cada hacer dinero desear lleguen engorroso trámite devolución mayoría caso difícil,NEG,"['escuche', 'bateer', 'degrada', 'corto', 'plazo', 'garantía', 'decir', 'producto', 'malo', 'gamer', 'necesario', 'bateer', 'durar', 'adema', 'apple', 'indemnizar', 'usuario', 'menor', 'costo', 'producto', 'final', 'así', 'mejor', 'comprir', 'buscar', 'opción', 'depender', 'cada', 'arriesga', 'cada', 'hacer', 'dinero', 'desear', 'lleguen', 'engorroso', 'trámite', 'devolución', 'mayoría', 'caso', 'difícil']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 4 meses,Lo recogí en Tienda el único inconveniente que tuvo es que no vino con Burbupack sin nada que lo proteja de los golpes .. fue la segunda vez que compré y en la primera  vino muy seguro y también lo recogí en tienda.,recoger tienda único inconveniente venir burbupack proteger golpe segundo vez comprar primero vino seguro recogí tienda,NEU,"['recoger', 'tienda', 'único', 'inconveniente', 'venir', 'burbupack', 'proteger', 'golpe', 'segundo', 'vez', 'comprar', 'primero', 'vino', 'seguro', 'recogí', 'tienda']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 4 meses,"Buena, excelente atención por parte del grupo Falabella",buen excelente atención parte grupo falabella,POS,"['buen', 'excelente', 'atención', 'parte', 'grupo', 'falabella']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 8 meses,"Lo compre por seguridad bloquea con rostro, huella y contraseña, robado y en 10 minutos hackeado donde me robaron toda la informacion y se metieron desde mi correo a todas las app de bancos, respuesta de apple al avisar robo para boquear equipo que no podian hacer nada ya que solo yo podia bloquear a traves de la web, contraseña que tambien fue cambiada, lo guardado en la nube y por lo cual pagaba mensualmente no lo pueden recuperar porque ellos solo te dan almacenamiento, una burla.",compre seguridad bloqueo rostro huella contraseño robado minuto hackeado robar todo informacion meter correo todo app bancos respuesta apple avisar robo boquear equipo podiar hacer solo podiar bloquear trav web contraseño tambien cambiado guardado nube pagar mensualmente poder recuperar solo dar almacenamiento burlar,NEU,"['compre', 'seguridad', 'bloqueo', 'rostro', 'huella', 'contraseño', 'robado', 'minuto', 'hackeado', 'robar', 'informacion', 'meter', 'correo', 'app', 'bancos', 'respuesta', 'apple', 'avisar', 'robo', 'boquear', 'equipo', 'podiar', 'hacer', 'solo', 'podiar', 'bloquear', 'trav', 'web', 'contraseño', 'tambien', 'cambiado', 'guardado', 'nube', 'pagar', 'mensualmente', 'poder', 'recuperar', 'solo', 'dar', 'almacenamiento', 'burlar']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Es equipo es tal cual la descripción, llego en buen estado. Se nota la diferencia en la duración de la batería ?? comparado con los iPhone anteriores",equipo tal descripción llego buen nota diferenciar duración baterío comparado iphonar anterior,NEU,"['equipo', 'tal', 'descripción', 'llego', 'buen', 'nota', 'diferenciar', 'duración', 'baterío', 'comparado', 'iphonar', 'anterior']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,Tiene el zoom de 0.5 a partir de esta versión y en mi caso vino con un case transparente de regalo además de 3 cuotas sin intereses,zoom partir versión caso venir case transparente regalo además cuota interés,NEU,"['zoom', 'partir', 'versión', 'caso', 'venir', 'case', 'transparente', 'regalo', 'además', 'cuota', 'interés']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 meses,"El rendimiento es increíble, la cámara es excelente y la batería dura todo el día. El diseño también es muy elegante y resistente.",rendimiento increíble cámara excelente batería duro día diseño elegante resistente,POS,"['rendimiento', 'increíble', 'cámara', 'excelente', 'batería', 'duro', 'día', 'diseño', 'elegante', 'resistente']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 8 meses,"Producto bastante completo, cumple con todo lo ofrecido. Excelente modelo para entrar en todo el ecosistema, al principio puede ser un poco complicado, pero es bastante fácil y intuitivo adaptarse. 128Gb bastan para el uso normal, en lo personal lo ocupo mucho para trabajo y un poco para fotos, nada de juegos. La batería de momento (mas de 1 mes de uso) me dura todo el día y un poco mas. De mas esta decir su cámara, la cual es genial y tiene un monto de personalización",producto bastante completo cumple ofrecido excelente modelo entrar ecosistema principio poder ser complicar bastante fácil intuitivo adaptar él bastar uso normal personal ocupo trabajo foto juegos bateer momento mas mes uso duro día mas mas decir cámara genial monto personalización,POS,"['producto', 'bastante', 'completo', 'cumple', 'ofrecido', 'excelente', 'modelo', 'entrar', 'ecosistema', 'principio', 'poder', 'ser', 'complicar', 'bastante', 'fácil', 'intuitivo', 'adaptar', 'bastar', 'uso', 'normal', 'personal', 'ocupo', 'trabajo', 'foto', 'juegos', 'bateer', 'momento', 'mas', 'mes', 'uso', 'duro', 'día', 'mas', 'mas', 'decir', 'cámara', 'genial', 'monto', 'personalización']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,"Si es de el tamaño de la foto, me desconcertó un poco que las cajas ambas vengan manchadas",tamaño foto desconcertar caja ambos vengar manchada,NEU,"['tamaño', 'foto', 'desconcertar', 'caja', 'ambos', 'vengar', 'manchada']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Igual a la fotografía, color lindo! y excelente procesador",igual fotografía color lindo excelente procesador,POS,"['igual', 'fotografía', 'color', 'lindo', 'excelente', 'procesador']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"Excelente calidad, lo que se podría esperar de un iPhone",excelente calidad poder esperar iphone,POS,"['excelente', 'calidad', 'poder', 'esperar', 'iphone']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Muy bien ,  llegó en buen estado ,buena calidad de fotos",bien llegar buen buen calidad foto,POS,"['bien', 'llegar', 'buen', 'buen', 'calidad', 'foto']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 9 meses,Igual a la foto y corresponde a la calidad esperada,igual foto corresponder calidad esperado,NEU,"['igual', 'foto', 'corresponder', 'calidad', 'esperado']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,Es más pequeño de lo que pensé,pequeño pensar,NEU,"['pequeño', 'pensar']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 11 meses,Toma buenas fotos,tomar buena foto,POS,"['tomar', 'buena', 'foto']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,Todo bien,bien,NEU,['bien'],0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 9 meses,Todo ok,,POS,[],0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Todo corresponde pero debería venir con el cargador completo, ya que solo está el cable le falta ella cabeza para conectar en em interruptor",corresponder deber venir cargador completo solo cable faltar cabeza conectar interruptor,NEU,"['corresponder', 'deber', 'venir', 'cargador', 'completo', 'solo', 'cable', 'faltar', 'cabeza', 'conectar', 'interruptor']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"El tamaño del equipo es perfecto considerando que lo utilizo normalmente en los bolsillos traseros del pantalón. La capacidad de almacenaje es muy buena ya que puedo guardar una gran cantidad de fotos y videos sin saturarlo. Pese a que mantengo una gran cantidad de aplicaciones abiertas al mismo tiempo, el equipo funciona bastante rápido y sin pausas. La cámara funciona muy bien y las fotos son excelentes.",tamaño equipo perfecto considerar utilizo normalmente bolsillo trasero pantalón capacidad almacenaje buen poder guardar gran cantidad foto video saturar él pese mantengo gran cantidad aplicación abierto mismo tiempo equipo funcionar bastante rápido pausa cámaro funcionar bien foto excelente,POS,"['tamaño', 'equipo', 'perfecto', 'considerar', 'utilizo', 'normalmente', 'bolsillo', 'trasero', 'pantalón', 'capacidad', 'almacenaje', 'buen', 'poder', 'guardar', 'gran', 'cantidad', 'foto', 'video', 'saturar', 'pese', 'mantengo', 'gran', 'cantidad', 'aplicación', 'abierto', 'mismo', 'tiempo', 'equipo', 'funcionar', 'bastante', 'rápido', 'pausa', 'cámaro', 'funcionar', 'bien', 'foto', 'excelente']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Un excelente producto, con las mejores condiciones. Lo pedí en azul marino y me quedó super elegante.",excelente producto mejor condición pedí azul marino quedar super elegante,POS,"['excelente', 'producto', 'mejor', 'condición', 'pedí', 'azul', 'marino', 'quedar', 'super', 'elegante']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"El pedido llego en buen estado, sellado y rápido, es completamente nuevo. Ya llevo usándolo unos días y sinceramente me gusta mucho, las fotos también salen muy bien, estoy feliz con este equipo",pedido llego buen sellado rápido completamente nuevo llevar usándolo día sinceramente gustar foto salir bien feliz equipo,POS,"['pedido', 'llego', 'buen', 'sellado', 'rápido', 'completamente', 'nuevo', 'llevar', 'usándolo', 'día', 'sinceramente', 'gustar', 'foto', 'salir', 'bien', 'feliz', 'equipo']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Muy buena calidad, tal cual las fotos y lo que elegí. Es mi primer iPhone, vengo de Android de toda la vida, quedé fascinado. La cámara trasera y frontal son buenísimas, los parlantes muy buenos, me sorprendieron para bien. El tamaño para mí al menos, es perfecto, por eso también existe la versión mini para quien lo prefiera, sin duda lo recomiendo, producto de muy buena calidad.",buen calidad tal foto elegí primero iphone venir android todo vida quedé fascinado cámara trasero frontal buenísima parlant buen sorprender bien tamaño menos perfecto existir versión mini preferir duda recomeir producto buen calidad,POS,"['buen', 'calidad', 'tal', 'foto', 'elegí', 'primero', 'iphone', 'venir', 'android', 'vida', 'quedé', 'fascinado', 'cámara', 'trasero', 'frontal', 'buenísima', 'parlant', 'buen', 'sorprender', 'bien', 'tamaño', 'menos', 'perfecto', 'existir', 'versión', 'mini', 'preferir', 'duda', 'recomeir', 'producto', 'buen', 'calidad']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Es un excelente teléfono, lo compré para mi polola de regalo y la calidad es excepcional. El sistema operativo es muy bueno, no se pega nunca, la calidad general del teléfono es premium, pantalla excelente para juegos y contenido multimedia y las cámaras de lo mejor del mercado, sensores muy buenos que dan fotos con una excelente nitidez y colores vivos. Recomendado al 100%.",excelente teléfono comprar polola regalo calidad excepcional sistema operativo bueno pegar nunca calidad general teléfono premium pantalla excelente juegos contenido multimedia cámara mejor mercado sensor buen dar foto excelente nitidez color vivo recomendado,POS,"['excelente', 'teléfono', 'comprar', 'polola', 'regalo', 'calidad', 'excepcional', 'sistema', 'operativo', 'bueno', 'pegar', 'nunca', 'calidad', 'general', 'teléfono', 'premium', 'pantalla', 'excelente', 'juegos', 'contenido', 'multimedia', 'cámara', 'mejor', 'mercado', 'sensor', 'buen', 'dar', 'foto', 'excelente', 'nitidez', 'color', 'vivo', 'recomendado']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Es un IPhone. En cuanto a funcionalidad e interfaz el cambio no es relevante frente a sus antecesores, rápido, excelente cámara, excelente sonido para un uso medio, más laboral y RRSS que uso multimedia la batería dura 1,5 días sin problemas en promedio. Detalles a mejorar, el precio es demasiado elevado, no es compatible con Google Pay, y Apple Pay aún no llega a Chile.",iphone cuanto funcionalidad interfaz cambio relevante frente antecesor rápido excelente cámara excelente sonido uso medio laboral rrs uso multimedia batería duro día problema promedio detall mejorar precio demasiado elevado compatible google pay apple pay aún llegar chile,NEU,"['iphone', 'cuanto', 'funcionalidad', 'interfaz', 'cambio', 'relevante', 'frente', 'antecesor', 'rápido', 'excelente', 'cámara', 'excelente', 'sonido', 'uso', 'medio', 'laboral', 'rrs', 'uso', 'multimedia', 'batería', 'duro', 'día', 'problema', 'promedio', 'detall', 'mejorar', 'precio', 'demasiado', 'elevado', 'compatible', 'google', 'pay', 'apple', 'pay', 'aún', 'llegar', 'chile']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 21 días,"El equipo cumple las expectativas descritas por la marca en varios sentidos:- Imagen y/o resolución.- Velocidad. (procesador)- Fotografía (Alta calidad de imagen), lo que sin duda ya no tienes necesidad de llevar otro aparato para la captura de momentos inolvidables.- Almacenamiento ideal.- Peso y tamaño ideal para el bolsillo.- Batería de alta duración.",equipo cumplir expectativa descrito marcar varios imagen resolución velocidad procesador fotografía alto calidad imagen dudar necesidad llevar aparato capturo momento inolvidable almacenamiento ideal peso tamaño ideal bolsillo batería alto duración,NEU,"['equipo', 'cumplir', 'expectativa', 'descrito', 'marcar', 'varios', 'imagen', 'resolución', 'velocidad', 'procesador', 'fotografía', 'alto', 'calidad', 'imagen', 'dudar', 'necesidad', 'llevar', 'aparato', 'capturo', 'momento', 'inolvidable', 'almacenamiento', 'ideal', 'peso', 'tamaño', 'ideal', 'bolsillo', 'batería', 'alto', 'duración']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,Buen bueno y elegante,buen bueno elegante,POS,"['buen', 'bueno', 'elegante']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El producto es idéntico a la imagen, yo pase de un iPhone 11 a un 13 y el cambio en lo que respecta a la batería si se nota, en cuanto el peso es un poco más ligero y cómodo al ver cuadrado los bordes. Solo recomiendo que el adaptador de carga que usen intente que sea original o uno de buena cálida porque se traba un poco con adaptadores de mala calidad",producto idéntico imagen pasar iphonar cambio respecto batería noto cuanto peso ligero cómodo ver cuadrado borde solo recomeir adaptador carga usen intentar original buen cálida trar adaptador malo calidad,NEU,"['producto', 'idéntico', 'imagen', 'pasar', 'iphonar', 'cambio', 'respecto', 'batería', 'noto', 'cuanto', 'peso', 'ligero', 'cómodo', 'ver', 'cuadrado', 'borde', 'solo', 'recomeir', 'adaptador', 'carga', 'usen', 'intentar', 'original', 'buen', 'cálida', 'trar', 'adaptador', 'malo', 'calidad']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 11 meses,Llevo dos meses y se queda pegado mi celular sin considerar que por capacidad no debiese tenia el iPhone XS que tenia menos capacidad y jamás me pasó eso el producto no tuvo golpes ni nada y aún así solo presenta fallas !!creo Justo el mío venía con fallas aún así recomiendo 100%. Apple y iPhone solo que el mío venía con fallas de origen,llevar dos mes quedar pegado celular considerar capacidad debiese tenia iphonar tenia menos capacidad jamás pasar producto golpe aún así solo presentar falla creer justo venir falla aún así recomeir apple iphone solo venir falla origen,NEG,"['llevar', 'dos', 'mes', 'quedar', 'pegado', 'celular', 'considerar', 'capacidad', 'debiese', 'tenia', 'iphonar', 'tenia', 'menos', 'capacidad', 'jamás', 'pasar', 'producto', 'golpe', 'aún', 'así', 'solo', 'presentar', 'falla', 'creer', 'justo', 'venir', 'falla', 'aún', 'así', 'recomeir', 'apple', 'iphone', 'solo', 'venir', 'falla', 'origen']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,El tamaño es tal cual en la descripción del producto,tamaño tal descripción producto,NEU,"['tamaño', 'tal', 'descripción', 'producto']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Considero que es un buen teléfono lindo y todo pero no se si valga mucho la pena por el precio, creo que aun esta demasiado elevado el precio y quizás sea un gasto mas o menos innecesario si tenés un buen celular y solo querés cambiarlo por cambiarlo.Hice retiro en tienda y creo que es la mejor opción a la hora de comprarlo",considerar buen teléfono lindo valga pena precio creer aun demasiado elevado precio quizás gasto mas menos innecesario tenés buen celular solo querés cambiar él cambiarlohice retiro tienda creer mejor opción horo comprar él,NEU,"['considerar', 'buen', 'teléfono', 'lindo', 'valga', 'pena', 'precio', 'creer', 'aun', 'demasiado', 'elevado', 'precio', 'quizás', 'gasto', 'mas', 'menos', 'innecesario', 'tenés', 'buen', 'celular', 'solo', 'querés', 'cambiar', 'cambiarlohice', 'retiro', 'tienda', 'creer', 'mejor', 'opción', 'horo', 'comprar']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,Fue igual a la descripción,igual descripción,NEU,"['igual', 'descripción']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"Producto 100% recomendado,",producto recomendado,NEU,"['producto', 'recomendado']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 2 años,"Llegó dentro de la fecha y estaba todo ok. La único fome es que Apple cada vez te hacen comprar todos los accesorios por separado. Ya no trae audífonos, no trae el enchufe para el caegador solo trae el cable que por un lado es de 30 pines y por el otro es usb-C, por ende no sirve cualquiera adaptador de usb normal.",llegar dentro fecha único fome apple cada vez hacer comprar accesorio separado traer audífono traer enchufe caegador solo traer cable lado pín usbc ende servir cualquiera adaptador usb normal,NEU,"['llegar', 'dentro', 'fecha', 'único', 'fome', 'apple', 'cada', 'vez', 'hacer', 'comprar', 'accesorio', 'separado', 'traer', 'audífono', 'traer', 'enchufe', 'caegador', 'solo', 'traer', 'cable', 'lado', 'pín', 'usbc', 'ende', 'servir', 'cualquiera', 'adaptador', 'usb', 'normal']",1
